med,med_class,super_class,pharm class,theraputic class,route
multivitamin women,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamin/fluoride,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamin/iron,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamin+ liqd,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamins caps,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamins chew,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamins pediatric,multivitamins,nutritional products,multivitamins,nutritional products,
multivitamins/minerals adult,multivitamins,nutritional products,multivitamins,nutritional products,
nephplex rx,multivitamins,nutritional products,multivitamins,nutritional products,
nephro-vite,multivitamins,nutritional products,multivitamins,nutritional products,
nephro-vite rx,multivitamins,nutritional products,multivitamins,nutritional products,
nephrocaps,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite adult,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite eye health formula,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite eye heatlh gummies chew,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite preservision,multivitamins,nutritional products,multivitamins,nutritional products,
ocuvite-lutein,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal #2,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal + complete multi,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal + dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal ad,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal adult gummy/dha/fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal complete,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal formula,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal gummies/dha & fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal multi +dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal multivit-iron,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal multivitamin + dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal multivitamin plus dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal mv & min w/fe-fa-ca,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal plus,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vitamin,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vitamin plus low iron,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vol-tab rx,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal+dha,multivitamins,nutritional products,multivitamins,nutritional products,
v-c forte caps,multivitamins,nutritional products,multivitamins,nutritional products,
b complex vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
b complex-biotin-fa,multivitamins,nutritional products,multivitamins,nutritional products,
b complex-c-biotin-e-min-fa,multivitamins,nutritional products,multivitamins,nutritional products,
b complex-c-zn-folic acid,multivitamins,nutritional products,multivitamins,nutritional products,
b complex-folic acid,multivitamins,nutritional products,multivitamins,nutritional products,
bariatric multivitamins/iron,multivitamins,nutritional products,multivitamins,nutritional products,
bioflavonoid products,multivitamins,nutritional products,multivitamins,nutritional products,
biotin plus keratin,multivitamins,nutritional products,multivitamins,nutritional products,
biotin w/ vitamins c & e,multivitamins,nutritional products,multivitamins,nutritional products,
cerovite advanced formula liqd,multivitamins,nutritional products,multivitamins,nutritional products,
cerovite silver,multivitamins,nutritional products,multivitamins,nutritional products,
certavite senior/antioxidant,multivitamins,nutritional products,multivitamins,nutritional products,
cod liver oil,multivitamins,nutritional products,multivitamins,nutritional products,
cod liver oil caps,multivitamins,nutritional products,multivitamins,nutritional products,
complete prenatal/dha,multivitamins,nutritional products,multivitamins,nutritional products,
cvs spectravite adult,multivitamins,nutritional products,multivitamins,nutritional products,
cvs super b complex/c,multivitamins,nutritional products,multivitamins,nutritional products,
daily multiple vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
dialyvite,multivitamins,nutritional products,multivitamins,nutritional products,
emergen-c vitamin c,multivitamins,nutritional products,multivitamins,nutritional products,
emergen-c vitamin c pack,multivitamins,nutritional products,multivitamins,nutritional products,
eq multivitamins adult gummy,multivitamins,nutritional products,multivitamins,nutritional products,
eql prenatal formula,multivitamins,nutritional products,multivitamins,nutritional products,
flinstones gummies omega-3,multivitamins,nutritional products,multivitamins,nutritional products,
flintstones complete,multivitamins,nutritional products,multivitamins,nutritional products,
flintstones complete chew,multivitamins,nutritional products,multivitamins,nutritional products,
geritol tonic liqd,multivitamins,nutritional products,multivitamins,nutritional products,
gnp one daily mens/lycopene,multivitamins,nutritional products,multivitamins,nutritional products,
hair skin & nails advanced,multivitamins,nutritional products,multivitamins,nutritional products,
hair skin & nails gummies,multivitamins,nutritional products,multivitamins,nutritional products,
hair skin and nails formula,multivitamins,nutritional products,multivitamins,nutritional products,
hair/skin/nails,multivitamins,nutritional products,multivitamins,nutritional products,
hair/skin/nails/biotin,multivitamins,nutritional products,multivitamins,nutritional products,
hightency b complex/b12/c,multivitamins,nutritional products,multivitamins,nutritional products,
icaps,multivitamins,nutritional products,multivitamins,nutritional products,
icaps areds,multivitamins,nutritional products,multivitamins,nutritional products,
icaps areds formula,multivitamins,nutritional products,multivitamins,nutritional products,
icaps caps,multivitamins,nutritional products,multivitamins,nutritional products,
iron-vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
macular health formula caps,multivitamins,nutritional products,multivitamins,nutritional products,
mens multi vitamin & mineral,multivitamins,nutritional products,multivitamins,nutritional products,
mens multivitamin,multivitamins,nutritional products,multivitamins,nutritional products,
multiple vitamins-iron,multivitamins,nutritional products,multivitamins,nutritional products,
multiple vitamins-minerals,multivitamins,nutritional products,multivitamins,nutritional products,
one daily calcium/iron,multivitamins,nutritional products,multivitamins,nutritional products,
one-a-day bone strength,multivitamins,nutritional products,multivitamins,nutritional products,
one-a-day mens,multivitamins,nutritional products,multivitamins,nutritional products,
one-a-day mens vitacraves chew,multivitamins,nutritional products,multivitamins,nutritional products,
one-a-day womens prenatal,multivitamins,nutritional products,multivitamins,nutritional products,
one-daily multi vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multiple vit-c-fa,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multiple vit-vit c,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multiple vitamins,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multivit-minerals-c,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multivitamins-fl,multivitamins,nutritional products,multivitamins,nutritional products,
pediatric multivitamins-iron,multivitamins,nutritional products,multivitamins,nutritional products,
pnv,multivitamins,nutritional products,multivitamins,nutritional products,
pnv fe fum/docusate/folic acid,multivitamins,nutritional products,multivitamins,nutritional products,
pnv ob+dha,multivitamins,nutritional products,multivitamins,nutritional products,
pnv prenatal plus multivit+dha,multivitamins,nutritional products,multivitamins,nutritional products,
pnv-dha,multivitamins,nutritional products,multivitamins,nutritional products,
pnv-dha plus,multivitamins,nutritional products,multivitamins,nutritional products,
poly-vi-sol soln,multivitamins,nutritional products,multivitamins,nutritional products,
poly-vi-sol/iron soln,multivitamins,nutritional products,multivitamins,nutritional products,
pr natal,multivitamins,nutritional products,multivitamins,nutritional products,
pre-natal,multivitamins,nutritional products,multivitamins,nutritional products,
prena rx,multivitamins,nutritional products,multivitamins,nutritional products,
prenat w/o a-fe-methfol-fa-dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenat w/o a-fecbgl-dss-fa-dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenat-febis-fepro-fa-ca-omega,multivitamins,nutritional products,multivitamins,nutritional products,
prenat-methylfol-chol-fish oil,multivitamins,nutritional products,multivitamins,nutritional products,
prenata,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal multivit-min-fe-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal mv & min w/fa-dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal mv-min-fa-omega-3,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal mv-min-fe fum-fa-dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit w/fe-methylfol-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-dss-fe cbn-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-dss-fe fum-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-fe fum-fa-omega,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-fe fumarate-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-fe sulfate-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal vit-iron carbonyl-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal w/o a vit-fe fum-fa,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal-fe bis-fa-dha w/o a,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal-fe-methylfol-fa-dha,multivitamins,nutritional products,multivitamins,nutritional products,
prenatal-fefum-fa-dha w/o a,multivitamins,nutritional products,multivitamins,nutritional products,
prosight,multivitamins,nutritional products,multivitamins,nutritional products,
prostate,multivitamins,nutritional products,multivitamins,nutritional products,
qc daily multivitamins/iron,multivitamins,nutritional products,multivitamins,nutritional products,
quin,multivitamins,nutritional products,multivitamins,nutritional products,
rena-vite,multivitamins,nutritional products,multivitamins,nutritional products,
rena-vite rx,multivitamins,nutritional products,multivitamins,nutritional products,
renal,multivitamins,nutritional products,multivitamins,nutritional products,
renal multivitamin formula,multivitamins,nutritional products,multivitamins,nutritional products,
renal softgels,multivitamins,nutritional products,multivitamins,nutritional products,
renaplex-d,multivitamins,nutritional products,multivitamins,nutritional products,
reno caps,multivitamins,nutritional products,multivitamins,nutritional products,
sentry senior,multivitamins,nutritional products,multivitamins,nutritional products,
sm multiple vitamins/iron,multivitamins,nutritional products,multivitamins,nutritional products,
specialty vitamins products,multivitamins,nutritional products,multivitamins,nutritional products,
stress b complex,multivitamins,nutritional products,multivitamins,nutritional products,
super b complex,multivitamins,nutritional products,multivitamins,nutritional products,
super b-100,multivitamins,nutritional products,multivitamins,nutritional products,
super thera vite m,multivitamins,nutritional products,multivitamins,nutritional products,
tab-a-vite,multivitamins,nutritional products,multivitamins,nutritional products,
therems,multivitamins,nutritional products,multivitamins,nutritional products,
triphrocaps,multivitamins,nutritional products,multivitamins,nutritional products,
virt-caps,multivitamins,nutritional products,multivitamins,nutritional products,
vit c-cholecalciferol-rose hip,multivitamins,nutritional products,multivitamins,nutritional products,
vitamedmd plus rx/quatrefolic,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin b complex,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin b complex-c caps,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin b-complex,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin c liqd,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin d-vitamin k,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin mixture,multivitamins,nutritional products,multivitamins,nutritional products,
vitamin-b complex,multivitamins,nutritional products,multivitamins,nutritional products,
vitrum senior,multivitamins,nutritional products,multivitamins,nutritional products,
womens,multivitamins,nutritional products,multivitamins,nutritional products,
womens multi,multivitamins,nutritional products,multivitamins,nutritional products,
womens multivitamin,multivitamins,nutritional products,multivitamins,nutritional products,
methocarbamol,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
baclofen,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
carisoprodol,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
cyclobenzaprine hcl,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
cyclobenzaprine hcl er,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
flexeril,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
orphenadrine citrate,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
orphenadrine citrate er,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
tizanidine hcl,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
zanaflex,muscle relaxant,muscle relaxant,musculoskeletal therapy agents,neuromuscular drugs,
phenylephrine hcl,adrenergic,nasal decongestant,nasal agents - systemic and topical,respiratory agents,
ayr saline nasal na gel,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
azelastine hcl,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
azelastine-fluticasone,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
beclomethasone diprop (nasal),nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
ciclesonide,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
cvs nasal decongestant,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
cvs nasal spray,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
flonase sensimist,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
flunisolide,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
fluticasone furoate,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
hypertonic nasal wash,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
mometasone furoate,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
nasacort allergy,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
nasogel na,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
netit sinus wash na,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
oxymetazoline hcl,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
pretz na soln,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
pseudoephedrine hcl,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
pseudoephedrine hcl er,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
qnasl,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
saline,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
saline nasal spray,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
saline nasal spray na,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
sinus rinse kit na,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
sod chloride-yerba santa-gly,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
sodium chloride-sodium bicarb,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
xhance,nasal agents -topical,local respiratory agents,nasal agents - systemic and topical,respiratory agents,
botox,botox,botox,neuromuscular blockers,neuromuscular drugs,
botox ij,botox,botox,neuromuscular blockers,neuromuscular drugs,
botox im,botox,botox,neuromuscular blockers,neuromuscular drugs,
onabotulinumtoxina,botox,botox,neuromuscular blockers,neuromuscular drugs,
riluzole,riluzole,als med,neuromuscular blockers,neuromuscular drugs,
garlic-lecithin,alternative medicines,vitamin/ supplemet,nutrients,nutritional products,
v-r evening primrose oil,alternative medicines,alternative medicines,nutrients,nutritional products,
prenatal dha,multivitamins,nutritional products,nutrients,nutritional products,
tryptophan,nutrients,nutritional products,nutrients,nutritional products,
acetylcysteine,nutrients,nutritional products,nutrients,nutritional products,
amino acid infusion,nutrients,nutritional products,nutrients,nutritional products,
amino acids,nutrients,nutritional products,nutrients,nutritional products,
amino acids-protein hydrolys,nutrients,nutritional products,nutrients,nutritional products,
choline,nutrients,nutritional products,nutrients,nutritional products,
clinisol sf,nutrients,nutritional products,nutrients,nutritional products,
cvs fish oil,nutrients,nutritional products,nutrients,nutritional products,
dha,nutrients,nutritional products,nutrients,nutritional products,
dha complete,nutrients,nutritional products,nutrients,nutritional products,
docosahexaenoic acid,nutrients,nutritional products,nutrients,nutritional products,
evening primrose oil,nutrients,nutritional products,nutrients,nutritional products,
fish oil,nutrients,nutritional products,nutrients,nutritional products,
fish oil omega-3,nutrients,nutritional products,nutrients,nutritional products,
fish-epa,nutrients,nutritional products,nutrients,nutritional products,
kp fish oil,nutrients,nutritional products,nutrients,nutritional products,
l-lysine,nutrients,nutritional products,nutrients,nutritional products,
liquacel liqd,nutrients,nutritional products,nutrients,nutritional products,
lysine,nutrients,nutritional products,nutrients,nutritional products,
nac,nutrients,nutritional products,nutrients,nutritional products,
omega,nutrients,nutritional products,nutrients,nutritional products,
omega-3,nutrients,nutritional products,nutrients,nutritional products,
omega-3 fatty acids,nutrients,nutritional products,nutrients,nutritional products,
pro-stat awc liqd,nutrients,nutritional products,nutrients,nutritional products,
pro-stat liqd,nutrients,nutritional products,nutrients,nutritional products,
prosource,nutrients,nutritional products,nutrients,nutritional products,
protein,nutrients,nutritional products,nutrients,nutritional products,
super omega,nutrients,nutritional products,nutrients,nutritional products,
taurine,nutrients,nutritional products,nutrients,nutritional products,
vitamin b-12,nutrients,nutritional products,nutritional products,hematological agents,
ofloxacin,antibiotic-ophth,ophthalmic,ophthalmic,topical products,
atropine sulfate,anticholinergic,anticholinergic,ophthalmic,topical products,
timolol maleate,beta-blocker,glaucoma_med,ophthalmic,topical products,
timolol maleate op,beta-blocker,glaucoma_med,ophthalmic,topical products,
artificial tear op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
artificial tear solution op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
artificial tears,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
artificial tears op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh optive advanced op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh optive advanced pf,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh optive op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh optive pf op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
refresh p.m. op oint,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
systane,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
systane complete,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
systane op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
systane preservative free op,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
systane ultra,lubricant eye drops,lubricant eye drops,ophthalmic,topical products,
erythromycin,macrolide,antibiotics,ophthalmic,topical products,
acuvail,nasaid,ophth antii-inflamatory,ophthalmic,topical products,Ophthalmic
acular,nsaid -opth,antii-inflamatory-eyedrops,ophthalmic,topical products,Ophthalmic
alrex,ophthal-steroid,ophthalmic,ophthalmic,topical products,
zioptan,ophthalmic,topical products,ophthalmic,topical products,
travatan z,prostaglandin ophth,glaucoma_med,ophthalmic,topical products,
travoprost,prostaglandin ophth,glaucoma_med,ophthalmic,topical products,
neomycin-polymyxin-dexameth,ophthalmic,topical,ophthalmic,topical products,
artificial tear,ophthalmic,topical,ophthalmic,topical products,
artificial tear ointment,ophthalmic,topical,ophthalmic,topical products,
artificial tear solution,ophthalmic,topical,ophthalmic,topical products,
azopt,ophthalmic,topical,ophthalmic,topical products,
betaxolol hcl,ophthalmic,topical,ophthalmic,topical products,
bimatoprost,ophthalmic,topical,ophthalmic,topical products,
brimonidine tartrate,ophthalmic,topical,ophthalmic,topical products,
brimonidine tartrate op,ophthalmic,topical,ophthalmic,topical products,
brimonidine tartrate-timolol,ophthalmic,topical,ophthalmic,topical products,
brinzolamide,ophthalmic,topical,ophthalmic,topical products,
brinzolamide-brimonidine,ophthalmic,topical,ophthalmic,topical products,
bromfenac sodium,ophthalmic,topical,ophthalmic,topical products,
carboxymeth-glycerin-polysorb,ophthalmic,topical,ophthalmic,topical products,
carboxymethylcell-hypromellose,ophthalmic,topical,ophthalmic,topical products,
carboxymethylcellul-glycerin,ophthalmic,topical,ophthalmic,topical products,
carboxymethylcellulose sod pf,ophthalmic,topical,ophthalmic,topical products,
carboxymethylcellulose sod pf op,ophthalmic,topical,ophthalmic,topical products,
carboxymethylcellulose sodium,ophthalmic,topical,ophthalmic,topical products,
carteolol hcl,ophthalmic,topical,ophthalmic,topical products,
combigan,ophthalmic,topical,ophthalmic,topical products,
cromolyn sodium,ophthalmic,topical,ophthalmic,topical products,
cvs dry eye relief,ophthalmic,topical,ophthalmic,topical products,
cyclopentolate hcl,ophthalmic,topical,ophthalmic,topical products,
dextran 70-hypromellose,ophthalmic,topical,ophthalmic,topical products,
difluprednate,ophthalmic,topical,ophthalmic,topical products,
dorzolamide hcl,ophthalmic,topical,ophthalmic,topical products,
dorzolamide hcl-timolol mal,ophthalmic,topical,ophthalmic,topical products,
dorzolamide hcl-timolol mal pf,ophthalmic,topical,ophthalmic,topical products,
dry eye relief drops,ophthalmic,topical,ophthalmic,topical products,
dry eye relief drops op,ophthalmic,topical,ophthalmic,topical products,
dry eyes op,ophthalmic,topical,ophthalmic,topical products,
durezol,ophthalmic,topical,ophthalmic,topical products,
eye drops allergy relief op,ophthalmic,topical,ophthalmic,topical products,
fluorometholone,ophthalmic,topical,ophthalmic,topical products,
genteal op,ophthalmic,topical,ophthalmic,topical products,
genteal tears,ophthalmic,topical,ophthalmic,topical products,
glycerin-hypromellose-peg,ophthalmic,topical,ophthalmic,topical products,
glycerin-hypromellose-peg 400,ophthalmic,topical,ophthalmic,topical products,
hypromellose,ophthalmic,topical,ophthalmic,topical products,
istalol,ophthalmic,topical,ophthalmic,topical products,
ketorolac tromethamine,ophthalmic,topical,ophthalmic,topical products,
ketotifen fumarate,ophthalmic,topical,ophthalmic,topical products,
lacri-lube op,ophthalmic,topical,ophthalmic,topical products,
latanoprost,ophthalmic,topical,ophthalmic,topical products,
latanoprostene bunod,ophthalmic,topical,ophthalmic,topical products,
lifitegrast,ophthalmic,topical,ophthalmic,topical products,
lotemax,ophthalmic,topical,ophthalmic,topical products,
loteprednol etabonate,ophthalmic,topical,ophthalmic,topical products,
lumigan,ophthalmic,topical,ophthalmic,topical products,
macugen io,ophthalmic,topical,ophthalmic,topical products,
naphazoline-pheniramine,ophthalmic,topical,ophthalmic,topical products,
natural balance tears,ophthalmic,topical,ophthalmic,topical products,
natural balance tears op,ophthalmic,topical,ophthalmic,topical products,
netarsudil dimesylate,ophthalmic,topical,ophthalmic,topical products,
netarsudil-latanoprost,ophthalmic,topical,ophthalmic,topical products,
olopatadine hcl,ophthalmic,topical,ophthalmic,topical products,
opcon-a op,ophthalmic,topical,ophthalmic,topical products,
pazeo,ophthalmic,topical,ophthalmic,topical products,
pegaptanib sodium,ophthalmic,topical,ophthalmic,topical products,
pilocarpine hcl,ophthalmic,topical,ophthalmic,topical products,
polyethyl glycol-propyl glycol,ophthalmic,topical,ophthalmic,topical products,
polymyxin b-trimethoprim,ophthalmic,topical,ophthalmic,topical products,
polyvinyl alcohol,ophthalmic,topical,ophthalmic,topical products,
polyvinyl alcohol-povidone,ophthalmic,topical,ophthalmic,topical products,
prednisolone acetate,ophthalmic,topical,ophthalmic,topical products,
prolensa,ophthalmic,topical,ophthalmic,topical products,
propylene glycol,ophthalmic,topical,ophthalmic,topical products,
refresh tears,ophthalmic,topical,ophthalmic,topical products,
refresh tears op,ophthalmic,topical,ophthalmic,topical products,
restasis,ophthalmic,topical,ophthalmic,topical products,
restasis op,ophthalmic,topical,ophthalmic,topical products,
rhopressa,ophthalmic,topical,ophthalmic,topical products,
rocklatan,ophthalmic,topical,ophthalmic,topical products,
simbrinza,ophthalmic,topical,ophthalmic,topical products,
sm artificial tears op,ophthalmic,topical,ophthalmic,topical products,
sodium chloride (hypertonic),ophthalmic,topical,ophthalmic,topical products,
soothe xp op soln,ophthalmic,topical,ophthalmic,topical products,
tafluprost,ophthalmic,topical,ophthalmic,topical products,
tetrahydrozoline hcl,ophthalmic,topical,ophthalmic,topical products,
tetrahydrozoline-zn sulfate,ophthalmic,topical,ophthalmic,topical products,
timolol hemihydrate,ophthalmic,topical,ophthalmic,topical products,
tobramycin,ophthalmic,topical,ophthalmic,topical products,
tobramycin-dexamethasone,ophthalmic,topical,ophthalmic,topical products,
visine op,ophthalmic,topical,ophthalmic,topical products,
vitamin a op,ophthalmic,topical,ophthalmic,topical products,
vyzulta,ophthalmic,topical,ophthalmic,topical products,
white petrolatum-mineral oil,ophthalmic,topical,ophthalmic,topical products,
xiidra,ophthalmic,topical,ophthalmic,topical products,
neomycin-polymyxin-hc,otic,topical products,otic,topical products,
carbamide peroxide,otic,topical products,otic,topical products,
ciprofloxacin-dexamethasone,otic,topical products,otic,topical products,
hydrocortisone-acetic acid,otic,topical products,otic,topical products,
min-o-ear ot,otic,topical products,otic,topical products,
mineral oil-oleth-polysorbate,otic,topical products,otic,topical products,
gammagard,passive immunizing agents,biological,passive immunizing agents,biological,
gamunex-c ij,passive immunizing agents,biological,passive immunizing agents,biological,
immune globulin,passive immunizing agents,biological,passive immunizing agents,biological,
immune globulin (human),passive immunizing agents,biological,passive immunizing agents,biological,
piperacillin-tazobactam,penicillin,antibiotics,penicillin,anti-infective agents,
dicloxacillin sodium,penicillin,antibiotic,penicillins,anti-infective agents,
penicillin vtassium,penicillin,antibiotic,penicillins,anti-infective agents,
amoxicillin,penicillins,antibiotic,penicillins,anti-infective agents,
amoxicillin-pot clavulanate,penicillins,antibiotic,penicillins,anti-infective agents,
ampicillin,penicillins,antibiotic,penicillins,anti-infective agents,
penicillin v potassium,penicillins,antibiotic,penicillins,anti-infective agents,
cream base,pharmaceutical adjuvants,miscellaneous products,pharmaceutical adjuvants,miscellaneous products,
white petrolatum,pharmaceutical adjuvants,miscellaneous products,pharmaceutical adjuvants,miscellaneous products,
white petrolatum ex gel,pharmaceutical adjuvants,miscellaneous products,pharmaceutical adjuvants,miscellaneous products,
white petrolatum gel,pharmaceutical adjuvants,miscellaneous products,pharmaceutical adjuvants,miscellaneous products,
white petroleum jelly ex gel,pharmaceutical adjuvants,miscellaneous products,pharmaceutical adjuvants,miscellaneous products,
norethindrone acetate,progestins,hormonal contraceptive,progestins,endocrine & metabolic drugs,
hydroxyprogesterone caproate,progestins,hormonal contraceptive,progestins,endocrine & metabolic drugs,
progesterone im,progestins,hormonal contraceptive,progestins,endocrine & metabolic drugs,
progesterone micronized,progestins,hormonal contraceptive,progestins,endocrine & metabolic drugs,
aricept,cholinesterase_inhibitor,cholinesterase_inhibitor,psychotherapeutic and neurological agents,central nervous system drugs,
gabapentin,gabaergic,anticonvulsant,psychotherapeutic and neurological agents,central nervous system drugs,
gabapentin enacarbil er,gabaergic,anticonvulsant,psychotherapeutic and neurological agents,central nervous system drugs,
nicoderm cq td,nicotine,nicotine,psychotherapeutic and neurological agents,central nervous system drugs,
nicotine,nicotine,nicotine,psychotherapeutic and neurological agents,central nervous system drugs,
nicotine in,nicotine,nicotine,psychotherapeutic and neurological agents,central nervous system drugs,
nicotine td,nicotine,nicotine,psychotherapeutic and neurological agents,central nervous system drugs,
nicotinelacrilex,nicotine,nicotine,psychotherapeutic and neurological agents,central nervous system drugs,
acamprosate calcium,psychotherapeutic and neurological agents,,psychotherapeutic and neurological agents,central nervous system drugs,
bupropion hcl (smoking deter),ndri,,psychotherapeutic and neurological agents,central nervous system drugs,
chantix,ndri,,psychotherapeutic and neurological agents,central nervous system drugs,
chantix continuing month pak,ndri,,psychotherapeutic and neurological agents,central nervous system drugs,
copaxone,galtritamer,immunomodulator,psychotherapeutic and neurological agents,central nervous system drugs,
